requirement_id,module,feature,detailed_behavior,evidence_type,chapter_id,event_ids,timestamps,evidence_paths,classification,confidence,test_path,open_question_ids
CH02-F009,busquedas_filtros,Catálogo buscable de seguros,El selector de Seguro permite explorar una lista extensa y filtrar por texto.,VISIBLE,CH02,CH02-E0032,00:03:30.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0032_00h03m30s400ms_abrupt_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0032_00h03m30s400ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,
CH02-F010,calidad_datos,Resultados anómalos en el catálogo de seguros,Una búsqueda de texto devuelve una aseguradora junto con entradas cuya forma aparente es la de nombres de personas.,UNCERTAIN,CH02,CH02-E0058,00:03:46.600,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0058_00h03m46s600ms_stable_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0058_00h03m46s600ms_DETAIL.jpg,UNCERTAIN,HIGH,#/pacientes; npm test,CH02-Q004
CH02-F011,seguros,Decisión de titularidad del seguro,Tras elegir aseguradora aparece el modal ¿Paciente es el asegurado titular? con respuestas No y Sí.,VISIBLE,CH02,CH02-E0062,00:03:49.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0062_00h03m49s800ms_stable_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q005
CH02-F012,formularios_campos,Datos condicionales de cobertura,"La rama Sí despliega póliza, certificado/unidad, DUI/NIT, nombre y nacimiento del asegurado, fecha efectiva y acción Agregar.",VISIBLE,CH02,CH02-E0066,00:04:10.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0066_00h04m10s000ms_abrupt_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0066_00h04m10s000ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q005
CH02-F013,formularios_campos,Contactos asociados al paciente,"La sección Contactos incluye nombre completo, teléfono, correo, parentesco, rol y país de residencia.",VISIBLE,CH02,CH02-E0068,00:04:11.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0068_00h04m11s000ms_stable_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q006
CH02-F014,ubicacion,Dirección con importación y limpieza,"La sección permite Pegar enlace, consultar información, Limpiar y capturar Dirección, Comentarios relevantes y Ubicación geográfica.",VISIBLE,CH02,CH02-E0071,00:04:19.600,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0071_00h04m19s600ms_abrupt_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q007
CH02-F015,ubicacion,Mapa embebido para ubicación geográfica,"El formulario incluye mapa con marcador, capas Mapa/Satélite, pantalla completa, control de cámara y ayuda Ctrl+desplazar para zoom.",VISIBLE,CH02,CH02-E0076,00:04:35.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0076_00h04m35s800ms_abrupt_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0076_00h04m35s800ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q007
CH02-F016,acciones,Acciones Atrás y Guardar sin resultado observado,El final del formulario presenta Atrás y Guardar.,VISIBLE,CH02,CH02-E0082,00:04:39.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0082_00h04m39s000ms_stable_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0082_00h04m39s000ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q008
CH03-F001,navegacion,Menú financiero desde Pacientes,"El icono financiero despliega Hospitalización, Cuentas por cobrar y Preautorizaciones & Reclamos; se elige Hospitalización.",VISIBLE,CH03,CH03-E0005,00:04:48.200,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0005_00h04m48s200ms_settled.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0005_00h04m48s200ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,
CH03-F002,pantallas,Panel y pestañas de Hospitalización Administrativa,"La vista estable contiene Relación de pacientes por empresa, Activos, Cotizaciones y PIC Ejecución.",VISIBLE,CH03,CH03-E0040,00:05:39.200,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0040_00h05m39s200ms_stable_change.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0040_00h05m39s200ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q003
CH03-F003,calidad_ui,Pestaña Preadmisión transitoria,Preadmisión aparece durante dos cargas de Hospitalización y desaparece cuando se estabiliza la pantalla.,UNCERTAIN,CH03,CH03-E0036,00:05:37.000,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0036_00h05m37s000ms_abrupt_change.jpg,UNCERTAIN,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q001
CH03-F004,busquedas_filtros,Filtros de hospitalizaciones activas,"Activos ofrece Estado Administrativo, Fecha de inicio y Tipo de cuenta, con Aplicar y Limpiar.",VISIBLE,CH03,CH03-E0009,00:04:53.200,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0009_00h04m53s200ms_stable_change.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q004
CH03-F005,tablas_listados,Tabla de hospitalizaciones activas,"La tabla muestra acción por elipsis, Hospitalización, DUI/NIT, Paciente, Empresa, Tipo Cuenta, Administrativo y Duración, además de búsqueda, orden y paginación.",VISIBLE,CH03,CH03-E0010,00:04:57.600,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0010_00h04m57s600ms_abrupt_change.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0010_00h04m57s600ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q008
CH03-F006,reglas_estado,Interpretación verbal de hospitalización activa,La narración asocia Activos con pacientes que mantienen un proceso o servicio actual.,VERBAL,CH03,CH03-E0017,00:05:06.400,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0017_00h05m06s400ms_abrupt_change.jpg,VERBAL,MEDIUM,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q002
CH03-F007,pacientes,Vista de pacientes inactivos,"Pacientes > Inactivos conserva búsqueda, paginación y columnas operativas, y muestra estado Inactivo y triage No Asignado.",VISIBLE,CH03,CH03-E0030,00:05:27.200,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0030_00h05m27s200ms_abrupt_change.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0030_00h05m27s200ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q002
CH03-F008,calidad_ui,Carga y estado vacío simultáneos,Durante la carga de Hospitalización aparecen a la vez Cargando y No hay registros disponibles antes de que se llenen las filas.,VISIBLE,CH03,CH03-E0008,00:04:52.600,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0008_00h04m52s600ms_abrupt_change.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q001
CH03-F009,cotizaciones,Filtros y alta desde Cotizaciones,"La pestaña Cotizaciones muestra Estado, Fecha de creación, Aplicar, Limpiar, búsqueda, paginación y + Nuevo.",VISIBLE,CH03,CH03-E0041,00:05:55.200,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0041_00h05m55s200ms_abrupt_change.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0041_00h05m55s200ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,
CH03-F010,preautorizaciones_reclamos,"Seguimiento de cotización, preautorización, seguro y reclamo","La tabla relaciona Estado, Envío preautorización, Respuesta seguro y Envío de reclamo con cada cotización.",VISIBLE,CH03,CH03-E0042,00:05:55.800,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0042_00h05m55s800ms_stable_change.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0042_00h05m55s800ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q005 | CH03-Q008
CH03-F011,finanzas,Fecha de creación y total por cotización,Cada fila expone Creación y Total.,VISIBLE,CH03,CH03-E0043,00:05:59.000,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0043_00h05m59s000ms_abrupt_change.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q006
CH03-F012,formularios_campos,Nueva cotización y datos del paciente,"+ Nuevo abre Nueva cotización con Paciente obligatorio y campos DUI/NIT, Teléfono y Correo.",VISIBLE,CH03,CH03-E0045,00:06:08.600,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0045_00h06m08s600ms_abrupt_change.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,
CH03-F013,formularios_campos,Datos iniciales de factura,"Datos de factura muestra Fecha, Grupo de descuento, Referido por y Comentarios con asterisco, además de Giftcard y acciones auxiliares.",VISIBLE,CH03,CH03-E0046,00:06:09.600,references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/event_frames/CH03-E0046_00h06m09s600ms_settled.jpg | references/video-audit/chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones/detail_crops/CH03-E0046_00h06m09s600ms_DETAIL.jpg,VISIBLE,HIGH,#/hospitalizaciones; #/cotizaciones; npm test,CH03-Q007
CH04-F001,pantallas,Nueva cotización por secciones,"El formulario separa Datos del paciente y Datos de la factura, seguido por categorías de ítems.",VISIBLE,CH04,CH04-E0006,00:06:27.600,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0006_00h06m27s600ms_abrupt_change.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,
CH04-F002,busquedas_filtros,Selector buscable de paciente,Paciente es obligatorio y abre un catálogo buscable cuyos resultados combinan documento y nombre/etiqueta.,VISIBLE,CH04,CH04-E0002,00:06:18.200,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0002_00h06m18s200ms_motion_progress.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0002_00h06m18s200ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,
CH04-F003,calidad_datos,Resultados de paciente con etiquetas de cotización,"La búsqueda de Paciente devuelve entradas sintéticas rotuladas como Cotización, incluida una identificación compuesta solo por ceros.",UNCERTAIN,CH04,CH04-E0003,00:06:18.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0003_00h06m18s800ms_stable_change.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0003_00h06m18s800ms_DETAIL.jpg,UNCERTAIN,HIGH,#/cotizaciones; npm test,CH04-Q001
CH04-F004,formularios_campos,Autocompletado de datos del paciente,"Al seleccionar Paciente se llenan DUI/NIT, Teléfono y Correo asociados.",VISIBLE,CH04,CH04-E0005,00:06:21.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0005_00h06m21s800ms_stable_change.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0005_00h06m21s800ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q002
CH04-F005,formularios_campos,Fecha requerida con calendario,"Fecha tiene asterisco y un selector con navegación de mes/año, Cancelar y Seleccionar.",VISIBLE,CH04,CH04-E0007,00:06:30.600,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0007_00h06m30s600ms_settled.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0007_00h06m30s600ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q003
CH04-F006,descuentos,Grupo de descuento obligatorio,Grupo de descuento tiene asterisco y muestra Regular en el capítulo.,VISIBLE,CH04,CH04-E0008,00:06:33.000,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0008_00h06m33s000ms_settled.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0008_00h06m33s000ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q004
CH04-F007,referencias,Referido por como multiselección buscable,"Referido por es obligatorio, permite buscar, desplazar el catálogo, elegir más de un valor y retirar tags mediante x.",VISIBLE,CH04,CH04-E0032,00:06:59.600,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0032_00h06m59s600ms_abrupt_change.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0032_00h06m59s600ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q005
CH04-F008,calidad_datos,Catálogo heterogéneo de referidos,"La misma lista mezcla VACIO, canales de marketing, aseguradora, condición de paciente recurrente y nombres de personas.",UNCERTAIN,CH04,CH04-E0014,00:06:42.000,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0014_00h06m42s000ms_abrupt_change.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0014_00h06m42s000ms_DETAIL.jpg,UNCERTAIN,HIGH,#/cotizaciones; npm test,CH04-Q005
CH04-F009,acciones,Acción auxiliar para Referido por,Un botón circular verde con + aparece junto a Referido por.,VISIBLE,CH04,CH04-E0009,00:06:34.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0009_00h06m34s800ms_abrupt_change.jpg | references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0009_00h06m34s800ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q006
CH04-F010,formularios_campos,Giftcard y Comentarios,Giftcard aparece sin asterisco y con icono de borrado; Comentarios tiene asterisco y área multilínea.,VISIBLE,CH04,CH04-E0034,00:07:01.000,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0034_00h07m01s000ms_abrupt_change.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q007 | CH04-Q008
CH04-F011,cotizacion_items,Categorías de ítems y filtro de inventario,"La cotización organiza Servicios, Estudios Dx, Medicamentos, Insumos, Equipos, Honorarios y Extras; incluye Solo disponibles en inventario y, en Servicios, Socio de negocios, Servicios, Precio y Cantidad.",VISIBLE,CH04,CH04-E0035,00:07:01.600,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0035_00h07m01s600ms_stable_change.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH04-Q009
CH05-F001,cotizacion_items,Categorías de conceptos en Nueva cotización,"La cotización expone Servicios, Estudios Dx, Medicamentos, Insumos, Equipos, Honorarios y Extras, con un compositor que cambia de tipo.",VISIBLE,CH05,CH05-E0001,00:07:32.200,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0001_00h07m32s200ms_abrupt_change.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,
CH05-F002,precios_catalogos,Socio de negocios selecciona catálogo de precios,"Socio de negocios es obligatorio y abre una lista buscable con VITAE (precio regular), aseguradoras y otras listas.",VISIBLE,CH05,CH05-E0003,00:07:49.400,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0003_00h07m49s400ms_motion_progress.jpg | references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0003_00h07m49s400ms_DETAIL.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,CH05-Q001
CH05-F003,estados_async,Bloqueo visual Procesando durante cargas y adiciones,Un overlay gris con Procesando... aparece al cargar el catálogo y al añadir conceptos.,VISIBLE,CH05,CH05-E0021,00:08:14.600,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0021_00h08m14s600ms_abrupt_change.jpg,VISIBLE,HIGH,#/cotizaciones; npm test,
