segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00190,audio_009,1137000,1142000,00:18:57.000,00:19:02.000,0.6243,MEDIUM_CONFIDENCE,"- Ah, gracias, me lo puedo dejar en mortería. - Sí, por el tiempo que me ha hecho.",167000,172000
T00191,audio_009,1142000,1144000,00:19:02.000,00:19:04.000,0.6099,MEDIUM_CONFIDENCE,- Gracias. - Sí.,172000,174000
T00192,audio_009,1148000,1159000,00:19:08.000,00:19:19.000,0.6967,MEDIUM_CONFIDENCE,"Entonces, él está de forma particular, porque está trabajando, bueno, así lo regresa, no cree que debe ser de amistad,",178000,189000
T00193,audio_009,1159000,1167000,00:19:19.000,00:19:27.000,0.6788,MEDIUM_CONFIDENCE,"aquí se pone la fecha de cuándo, cuándo hubiera estado de cuenta. - Tiene un diplomático o un mech,",189000,197000
T00194,audio_009,1167000,1174000,00:19:27.000,00:19:34.000,0.6969,MEDIUM_CONFIDENCE,"pero la lista es previa, y aquí está, usted selecciona si quiere ver todo.",197000,204000
T00195,audio_009,1174000,1181000,00:19:34.000,00:19:41.000,0.5991,MEDIUM_CONFIDENCE,"Como ahí solamente mostrae que de un mech solamente muestra el tiempo que usted se hará más,",204000,211000
T00196,audio_009,1181000,1190000,00:19:41.000,00:19:50.000,0.5651,MEDIUM_CONFIDENCE,y me muestra lo que no sirve en el plan de fecha.,211000,220000
T00197,audio_009,1190000,1193000,00:19:50.000,00:19:53.000,0.6623,MEDIUM_CONFIDENCE,Y ya le doy la persona.,220000,223000
T00198,audio_009,1193000,1199000,00:19:53.000,00:19:59.000,0.5479,LOW_CONFIDENCE,"- Y la medicina. - Ahora, diga esto, lo que hace falta,",223000,229000
T00199,audio_009,1199000,1201000,00:19:59.000,00:20:01.000,0.3339,LOW_CONFIDENCE,"hacer un ""intriming"",",229000,231000
T00200,audio_010,1200000,1215760,00:20:00.000,00:20:15.760,0.5212,LOW_CONFIDENCE,"Y en esa parte, el lado de cuenta y se acuntan las corporizaciones que se le dan, ok, perfectamente",230000,245760
T00201,audio_010,1215760,1226480,00:20:15.760,00:20:26.480,0.5527,MEDIUM_CONFIDENCE,"el detalle del insumo que está aquí, no es mi cuenta, pero lo cheques y lo doblamos",245760,256480
T00202,audio_010,1226480,1233480,00:20:26.480,00:20:33.480,0.6454,MEDIUM_CONFIDENCE,"creo que se quedó a cuidar las pantallas. Sí, gracias.",256480,263480
T00203,audio_010,1233480,1247480,00:20:33.480,00:20:47.480,0.4964,LOW_CONFIDENCE,"Este que doy, ahi. Este es un cuadro de ""exactado de cuenta"". Ahora vamos por...",263480,277480
T00204,audio_010,1247480,1254480,00:20:47.480,00:20:54.480,0.5382,LOW_CONFIDENCE,"Este de preautorización se lo voy a utilizar, no sé, no lo sé, ahora vamos por la parte de Mellis.",277480,284480
T00205,audio_010,1254480,1265480,00:20:54.480,00:21:05.480,0.709,,"Ya tenían separado como la parte administrativa, todas las...",284480,295480
