segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text
T00032,audio_001,120000,130960,00:02:00.000,00:02:10.960,0.7198,,El va a parecer la pestaña de pacientes para crear nuevos pacientes que tienen la perspectiva
T00033,audio_001,130960,133960,00:02:10.960,00:02:13.960,0.8906,,y la inactiva.
T00034,audio_001,133960,143080,00:02:13.960,00:02:23.080,0.885,,Para crear uno paciente lleno de nuevo y nos muestra los datos a solicitar que aquí
T00035,audio_001,143080,150080,00:02:23.080,00:02:30.080,0.6759,MEDIUM_CONFIDENCE,"está bien el dúo, puede ser el paso por favor, puede ser el dúo."
T00036,audio_001,150080,159080,00:02:30.080,00:02:39.080,0.6938,MEDIUM_CONFIDENCE,"Te ponen el número el dúo, el nombre completo, la fecha de enciimiento, que es con la entrevistación,"
T00037,audio_001,159080,168080,00:02:39.080,00:02:48.080,0.6663,MEDIUM_CONFIDENCE,"se ligue la opción cierre a menino masculino, el número de teléfono, tiene de en casa,"
T00038,audio_001,168080,183080,00:02:48.080,00:03:03.080,0.6801,MEDIUM_CONFIDENCE,"el color electrónico, el enganción del tipo de sangre, Estados Unidos, nacionalidad, acá"
T00039,audio_001,183080,189080,00:03:03.080,00:03:09.080,0.4553,LOW_CONFIDENCE,"está el número de elevaciones, ocupación."
T00040,audio_001,189080,196080,00:03:09.080,00:03:16.080,0.5974,MEDIUM_CONFIDENCE,"Igual a estos, solamente esta está como preciosa, sujeta, tiene que ser temada también el número"
T00041,audio_001,196080,200080,00:03:16.080,00:03:20.080,0.488,LOW_CONFIDENCE,de duits y el del instelebre.
T00042,audio_001,200080,208080,00:03:20.080,00:03:28.080,0.7919,,"En esta parte también aparece la opción seleccional porque es aseguradora, es como"
T00043,audio_001,208080,216080,00:03:28.080,00:03:36.080,0.6755,MEDIUM_CONFIDENCE,"es aseguradora que va a empezar, aquí aparecen todas las aseguradoras, seleccionan sin el"
T00044,audio_001,216080,219080,00:03:36.080,00:03:39.080,0.7292,,caso de que fuera de como es aseguradoras.
T00045,audio_001,219080,228080,00:03:39.080,00:03:48.080,0.4416,LOW_CONFIDENCE,"Si hay como un asegurador, más con el."
T00046,audio_001,228080,234080,00:03:48.080,00:03:54.080,0.5781,MEDIUM_CONFIDENCE,¿El paciente es asegurada? Sí.
T00047,audio_001,234080,239080,00:03:54.080,00:03:59.080,0.7111,,"Y ya me despliegan las opciones para poder llenar con repólizas,"
T00048,audio_001,239080,241080,00:03:59.080,00:04:01.080,0.5026,LOW_CONFIDENCE|NON_SPEECH,[MÚSICA]
T00049,audio_002,240000,251000,00:04:00.000,00:04:11.000,0.6181,MEDIUM_CONFIDENCE,"La fecha de, la fecha rectil, fecha de sinistro asegurado, etc."
T00050,audio_002,251000,264000,00:04:11.000,00:04:24.000,0.6779,MEDIUM_CONFIDENCE,"Y aparte, apareciendo el nombre, el nombre de contacto, o la cual sabe, paciente, trata, se agrega, y aquí es donde va la dirección, paciente."
T00051,audio_002,264000,276000,00:04:24.000,00:04:36.000,0.7772,,Aquí solicita ubicación si es necesario la dirección o comentario de una referencia.
T00052,audio_002,276000,283000,00:04:36.000,00:04:43.000,0.5393,LOW_CONFIDENCE,La evaluación y le dan water y medicas supeas del paciente.
T00053,audio_002,283000,294000,00:04:43.000,00:04:54.000,0.6771,MEDIUM_CONFIDENCE,"Si ya está el paciente, la otra parte de ficalización."
T00054,audio_002,294000,301000,00:04:54.000,00:05:01.000,0.8875,,Acá es lo que les mencionaron que aparecen todos los pacientes activos.
T00055,audio_002,301000,303000,00:05:01.000,00:05:03.000,0.8501,,Todos los que han creado.
T00056,audio_002,303000,306000,00:05:03.000,00:05:06.000,0.5659,MEDIUM_CONFIDENCE,Creado y no es que hubo fitalizados en ese momento.
T00057,audio_002,306000,311000,00:05:06.000,00:05:11.000,0.8446,,"Ah, ok. Tanto lo que están activos, activos significa que tienen un proceso."
T00058,audio_002,311000,315000,00:05:11.000,00:05:15.000,0.6712,MEDIUM_CONFIDENCE,"Que ahorita están, que otros están con servicios comunes."
T00059,audio_002,315000,316000,00:05:15.000,00:05:16.000,0.7208,,Ok.
T00060,audio_002,316000,325000,00:05:16.000,00:05:25.000,0.6555,MEDIUM_CONFIDENCE,"Digamos si en el lado caso quise el nombre del que pacientes estuvieron, pues están en activos, se van a que los que están en el paciente."
T00061,audio_002,325000,327000,00:05:25.000,00:05:27.000,0.6723,MEDIUM_CONFIDENCE,Y aquí están los que están activos.
T00062,audio_002,327000,329000,00:05:27.000,00:05:29.000,0.4281,LOW_CONFIDENCE,Todo esto.
T00063,audio_002,329000,334000,00:05:29.000,00:05:34.000,0.6633,MEDIUM_CONFIDENCE,"Están malistras, pero si tuvieron un servicio con ustedes antes."
T00064,audio_002,334000,335000,00:05:34.000,00:05:35.000,0.7054,,¿Sí?
T00065,audio_002,335000,336000,00:05:35.000,00:05:36.000,0.6038,MEDIUM_CONFIDENCE,Sí.
T00066,audio_002,336000,342000,00:05:36.000,00:05:42.000,0.7305,,"Entonces, no podemos dar parte de la ficalización que van a aparecer todos los servicios actuales en este momento."
T00067,audio_002,342000,343000,00:05:42.000,00:05:43.000,0.8712,,Ok.
T00068,audio_002,343000,344000,00:05:43.000,00:05:44.000,0.4367,LOW_CONFIDENCE,Y?
T00069,audio_002,344000,347000,00:05:44.000,00:05:47.000,0.6619,MEDIUM_CONFIDENCE,Ese pique es el pico de ejecución sin evitarnos a un paciente.
T00070,audio_002,347000,348000,00:05:47.000,00:05:48.000,0.4025,LOW_CONFIDENCE,Sí.
T00071,audio_002,348000,349000,00:05:48.000,00:05:49.000,0.7113,,Ajá.
T00072,audio_002,349000,352000,00:05:49.000,00:05:52.000,0.9095,,Es los números que están en ejecución en este momento.
T00073,audio_002,352000,354000,00:05:52.000,00:05:54.000,0.6234,MEDIUM_CONFIDENCE,La potización.
T00074,audio_002,354000,357000,00:05:54.000,00:05:57.000,0.8803,,Acá está la opción de potización.
T00075,audio_002,357000,360000,00:05:57.000,00:06:00.000,0.6557,MEDIUM_CONFIDENCE,Que es donde ya...
T00076,audio_003,360000,366060,00:06:00.000,00:06:06.060,0.532,LOW_CONFIDENCE,"Si no tiene un nuevo paciente o ya tenemos un reclamo paciente, formación o cotización."
T00077,audio_003,366060,379220,00:06:06.060,00:06:19.220,0.553,MEDIUM_CONFIDENCE,"Lo que mencionamos antes de tener algo enérico, es que no tiene cotización uno, sino tienen"
T00078,audio_003,379220,385080,00:06:19.220,00:06:25.080,0.768,,"todo el dato AUS para llenar, entonces se puede hacer una cotización abierta."
T00079,audio_003,385080,392080,00:06:25.080,00:06:32.080,0.574,MEDIUM_CONFIDENCE,Entonces se selecciona la fecha de ahora y está a través de la final.
T00080,audio_003,392080,402080,00:06:32.080,00:06:42.080,0.504,LOW_CONFIDENCE,"Y es referido por el inérico, cierto, preven, unicilante, etc."
T00081,audio_003,402080,409080,00:06:42.080,00:06:49.080,0.3631,LOW_CONFIDENCE,"Entonces, si hay un paciente o un paciente, si hay algo en esto, lo referido."
T00082,audio_003,409080,418080,00:06:49.080,00:06:58.080,0.5551,MEDIUM_CONFIDENCE,"O también puede ser referido por el reclamo de las redes, pero también por las redes."
T00083,audio_003,418080,424080,00:06:58.080,00:07:04.080,0.4653,LOW_CONFIDENCE,"Entonces, ¿no está en conversa?"
T00084,audio_003,424080,438080,00:07:04.080,00:07:18.080,0.6471,MEDIUM_CONFIDENCE,Se coloca algún tipo de comentario en el que le distirma la operación.
T00085,audio_003,438080,447080,00:07:18.080,00:07:27.080,0.6002,MEDIUM_CONFIDENCE,"Y el caso se pone el servicio a base de siete días, comandario de comandario de inicio"
T00086,audio_003,447080,453080,00:07:27.080,00:07:33.080,0.5484,LOW_CONFIDENCE,"a tal día, para financiar tal día, así que es que es de útil."
T00087,audio_003,453080,464080,00:07:33.080,00:07:44.080,0.7139,,"O que también va a tener exámenes tal fecha posterior, haciendo en fascín que va a tener"
T00088,audio_003,464080,466080,00:07:44.080,00:07:46.080,0.8303,,posteriormente exámenes.
T00089,audio_003,466080,470080,00:07:46.080,00:07:50.080,0.6269,MEDIUM_CONFIDENCE,Y ya está dentro de la propización inicial.
T00090,audio_003,470080,477080,00:07:50.080,00:07:57.080,0.7268,,"Acá se selecciona, en este caso, es que tiene una opción de precios, distinto precios."
T00091,audio_003,477080,480080,00:07:57.080,00:08:00.080,0.8338,,Eso son los precios de asegurador.
T00092,audio_004,480000,487000,00:08:00.000,00:08:07.000,0.6516,MEDIUM_CONFIDENCE,"Quiere decir que son las relaciones que tienen, si yo digo un asegurador, no hay salida el precio que tengo asebrado con él."
T00093,audio_004,487000,490000,00:08:07.000,00:08:10.000,0.8212,,"Ah, tenés un catálogo de precios por aseguradora."
T00094,audio_004,490000,492000,00:08:10.000,00:08:12.000,0.7339,,Sí.
T00095,audio_004,492000,503000,00:08:12.000,00:08:23.000,0.7514,,"Entonces, tenemos el precio regular, que es prácticamente el normal del estándar."
T00096,audio_004,503000,508000,00:08:23.000,00:08:28.000,0.8436,,Si pongo que voy a necesitar servicio de fiscalización.
T00097,audio_004,508000,518000,00:08:28.000,00:08:38.000,0.5931,MEDIUM_CONFIDENCE,"Ya cuando ustedes están en el otro lado, es el precio que hay que tener el precio."
T00098,audio_004,518000,531000,00:08:38.000,00:08:51.000,0.5685,MEDIUM_CONFIDENCE,"Exacto, aquí ya están los servicios de los precios, solamente para que el visual de cotiza suelo, él pueda solamente calar."
T00099,audio_004,531000,538000,00:08:51.000,00:08:58.000,0.4399,LOW_CONFIDENCE,"Entonces, médica calo, 24."
T00100,audio_004,538000,543000,00:08:58.000,00:09:03.000,0.4994,LOW_CONFIDENCE,Sí.
T00101,audio_004,543000,546000,00:09:03.000,00:09:06.000,0.4653,LOW_CONFIDENCE,Ficalización.
T00102,audio_004,546000,550000,00:09:06.000,00:09:10.000,0.356,LOW_CONFIDENCE,"Y por tráedigo, maestro estado."
T00103,audio_004,550000,553000,00:09:10.000,00:09:13.000,0.5936,MEDIUM_CONFIDENCE,No le he aprobado.
T00104,audio_004,553000,555000,00:09:13.000,00:09:15.000,0.423,LOW_CONFIDENCE,Gracias.
T00105,audio_004,555000,562000,00:09:15.000,00:09:22.000,0.4648,LOW_CONFIDENCE,"Sí, me iba, para ese expreso."
T00106,audio_004,562000,570000,00:09:22.000,00:09:30.000,0.7825,,"El que le dice el médico, que dice que el paciente va a estar por 5 días, entonces por 4 de 5 días, por 24 horas."
T00107,audio_004,570000,573000,00:09:30.000,00:09:33.000,0.5663,MEDIUM_CONFIDENCE,"Entonces, esto cae exacto."
T00108,audio_004,573000,576000,00:09:33.000,00:09:36.000,0.4457,LOW_CONFIDENCE,Que mata a llevar a que él lleva un va.
T00109,audio_004,576000,578000,00:09:36.000,00:09:38.000,0.6324,MEDIUM_CONFIDENCE,"Entonces, me voy a dar para..."
T00110,audio_004,578000,581000,00:09:38.000,00:09:41.000,0.5773,MEDIUM_CONFIDENCE,"Ellos no tienen como categorizaros, ¿vale?"
T00111,audio_004,581000,585000,00:09:41.000,00:09:45.000,0.7032,,Pero es la parte de servicio de un va.
T00112,audio_004,585000,589000,00:09:45.000,00:09:49.000,0.6057,MEDIUM_CONFIDENCE,Un servicio de la fuerza.
T00113,audio_004,589000,593000,00:09:49.000,00:09:53.000,0.8118,,"Puede ser extracción, que tiene un cojo."
T00114,audio_004,593000,597000,00:09:53.000,00:09:57.000,0.8935,,"Y como son 5 días de servicio, son 5 días de agua."
T00115,audio_004,597000,599000,00:09:57.000,00:09:59.000,0.8231,,Se va agregando.
T00116,audio_005,600000,602880,00:10:00.000,00:10:02.880,0.6372,MEDIUM_CONFIDENCE,"- Ah, pero eso no te lo tenías como servicios de bombas. - Sí."
T00117,audio_005,602880,609440,00:10:02.880,00:10:09.440,0.8013,,"- Debería estar con un equipo. - Exacto, pero como en realidad es como una garganta,"
T00118,audio_005,609440,614120,00:10:09.440,00:10:14.120,0.8886,,no es como un equipo en sí de inventariado.
T00119,audio_005,614120,618000,00:10:14.120,00:10:18.000,0.8546,,"Ok, ahí solo tenés entonces los equipos los que vas a vender."
T00120,audio_005,618000,624400,00:10:18.000,00:10:24.400,0.7941,,"Aquí tengo un equipo que voy a vender, aquí, que tengo como..."
T00121,audio_005,624400,630280,00:10:24.400,00:10:30.280,0.7985,,"ya registrados, como un cuadro de mi inventario de equipo."
T00122,audio_005,630280,638800,00:10:30.280,00:10:38.800,0.6456,MEDIUM_CONFIDENCE,"Entonces, en un día se coloca días, días, por 24 horas, día completo."
T00123,audio_005,638800,646960,00:10:38.800,00:10:46.960,0.7187,,"Entonces, digamos, quieren medicamentos, puede ser regular."
T00124,audio_005,646960,655040,00:10:46.960,00:10:55.040,0.5622,MEDIUM_CONFIDENCE,"- ¿Qué es el medicamento? - Los medicamentos usan dos veces, dos veces en un día y son tres días, por tres a seis."
T00125,audio_005,655040,659080,00:10:55.040,00:10:59.080,0.5025,LOW_CONFIDENCE,"- ¿Eres la verdad? - Sí, la verdad."
T00126,audio_005,659080,663720,00:10:59.080,00:11:03.720,0.5882,MEDIUM_CONFIDENCE,"- ¿Qué es lo que vas? - Normalmente es a poner una tía, entonces es entre 5."
T00127,audio_005,663720,668400,00:11:03.720,00:11:08.400,0.7665,,Pero digamos que vamos a hacer un ensalad y tienen 7 personas.
T00128,audio_005,668400,676040,00:11:08.400,00:11:16.040,0.5348,LOW_CONFIDENCE,"Entonces, la 7 personas, los puedes sacar a los cerobras, ¿verdad?"
T00129,audio_005,676040,682760,00:11:16.040,00:11:22.760,0.7218,,"Si es lo que dices, estarían dos, por cada día por cinco, entonces estarían diez."
T00130,audio_005,682760,684160,00:11:22.760,00:11:24.160,0.479,LOW_CONFIDENCE,Pero es importante que lo hagan.
T00131,audio_005,684160,686720,00:11:24.160,00:11:26.720,0.4434,LOW_CONFIDENCE,- ¿La conversación con el que daban por seis días para hacer el sistema?
T00132,audio_005,686720,692080,00:11:26.720,00:11:32.080,0.5813,MEDIUM_CONFIDENCE,"¿Le hicieron los días? - No, aquí van los regalos."
T00133,audio_005,692080,695600,00:11:32.080,00:11:35.600,0.7669,,¿Qué pasa? Dice que van a tener sumas.
T00134,audio_005,695600,699280,00:11:35.600,00:11:39.280,0.7281,,"Entonces, le damos una categoría de sumas."
T00135,audio_005,699280,701880,00:11:39.280,00:11:41.880,0.6052,MEDIUM_CONFIDENCE,"Quiero ocupar, ¿qué vas a ocupar?"
T00136,audio_005,701880,704440,00:11:41.880,00:11:44.440,0.5248,LOW_CONFIDENCE,- Sería un buscador. - Gracias.
T00137,audio_005,707000,709320,00:11:47.000,00:11:49.320,0.455,LOW_CONFIDENCE,- ¿Dónde están los días? - En el salino.
T00138,audio_005,709320,711320,00:11:49.320,00:11:51.320,0.6551,MEDIUM_CONFIDENCE,- ¿En el salino? - Sí.
T00139,audio_005,715320,718320,00:11:55.320,00:11:58.320,0.4272,LOW_CONFIDENCE,- Y me he tratado de ser de tu.
T00140,audio_006,720000,737760,00:12:00.000,00:12:17.760,0.7335,,"Si hay estudios, también tienen la opción de selección de estudios."
T00141,audio_006,737760,753680,00:12:17.760,00:12:33.680,0.3839,LOW_CONFIDENCE,"En el canal de Isis, está como un bicarbonidad, porque con él fue como un primer, cortarte,"
T00142,audio_006,753680,771440,00:12:33.680,00:12:51.440,0.423,LOW_CONFIDENCE,"para que vean aquí, las cosas, y todo eso."
T00143,audio_006,771440,792880,00:12:51.440,00:13:12.880,0.5665,MEDIUM_CONFIDENCE,"En el canal de Isis, hay una opción de selección de estudios, para que vean aquí, la opción"
T00144,audio_006,792880,817880,00:13:12.880,00:13:37.880,0.678,MEDIUM_CONFIDENCE,"de selección de estudios, para que vean aquí, la opción de selección de estudios, para"
T00145,audio_006,817880,832280,00:13:37.880,00:13:52.280,0.8421,,"que vean aquí, la opción de selección de estudios, para que vean aquí, la opción"
T00146,audio_006,832280,839360,00:13:52.280,00:13:59.360,0.8788,,"de selección de estudios, para que vean aquí, la opción de selección de estudios, para"
T00147,audio_006,839360,840360,00:13:59.360,00:14:00.360,0.8783,,"que vean aquí, la opción de selección de estudios, para que vean aquí, la opción"
T00148,audio_007,840000,852000,00:14:00.000,00:14:12.000,0.532,LOW_CONFIDENCE,"Pero también está el caso que yo le puedo reivindicar aquí el nombre, lo que quería hacer, personalista."
T00149,audio_007,852000,860000,00:14:12.000,00:14:20.000,0.5248,LOW_CONFIDENCE,"Entonces acá ya está, me lo jala, que por los datos y aquí, serviste."
T00150,audio_007,860000,870000,00:14:20.000,00:14:30.000,0.7621,,"Entonces aquí le doy guardar, me lo guarda, entonces me voy atrás por efectos de..."
T00151,audio_007,870000,876000,00:14:30.000,00:14:36.000,0.8094,,"y acá quedaría guardado, guardado pero todavía no activado."
T00152,audio_007,876000,884000,00:14:36.000,00:14:44.000,0.5255,LOW_CONFIDENCE,"Entonces qué pasa, si yo lo busco acá, habrá algo, ahora se te lo..."
T00153,audio_007,884000,892000,00:14:44.000,00:14:52.000,0.6161,MEDIUM_CONFIDENCE,"va, esta es la cotización de él, esa es la peliéndola de la idea de imprimir."
T00154,audio_007,892000,899000,00:14:52.000,00:14:59.000,0.3872,LOW_CONFIDENCE,"Y como se lo escribimos, vaya, me lo imprimí."
T00155,audio_007,899000,902000,00:14:59.000,00:15:02.000,0.6172,MEDIUM_CONFIDENCE,Esto se lo puedo calgar mejor.
T00156,audio_007,902000,905000,00:15:02.000,00:15:05.000,0.6497,MEDIUM_CONFIDENCE,Para mandarle al cliente.
T00157,audio_007,905000,911000,00:15:05.000,00:15:11.000,0.8156,,"Ah, exacto, se lo manda al cliente para que sea aprobada."
T00158,audio_007,911000,923000,00:15:11.000,00:15:23.000,0.7593,,"Que vaya, voy, lo podría extender ahí, por ejemplo, en lugar de eso, una vez se cree que el mismo sistema se le viera."
T00159,audio_007,923000,934000,00:15:23.000,00:15:34.000,0.7048,,"Y él cree el PDF en lugar de que lo descargue, lo va a desnaccer a la PDF y buscas en WhatsApp."
T00160,audio_007,934000,942000,00:15:34.000,00:15:42.000,0.7498,,Y esa vaina y después tendrás que juntar la cosa y si lo envías mejor lo picas y te cree el PDF y te envías.
T00161,audio_007,942000,945000,00:15:42.000,00:15:45.000,0.7851,,Eso debería ser.
T00162,audio_007,945000,951000,00:15:45.000,00:15:51.000,0.625,MEDIUM_CONFIDENCE,"Vale, entonces, ahí tenemos la parte de cotización."
T00163,audio_007,951000,953000,00:15:51.000,00:15:53.000,0.5399,LOW_CONFIDENCE,"Qué pasa, si..."
T00164,audio_007,953000,960000,00:15:53.000,00:16:00.000,0.6805,MEDIUM_CONFIDENCE,"Ahí te predigues, entonces deberías parecer pendiente, no enviado, enviar por WhatsApp, para que ya es una vez."
T00165,audio_008,960000,969000,00:16:00.000,00:16:09.000,0.6285,MEDIUM_CONFIDENCE,"Acá, ¿qué pasa? Si yo sigo autorización sin promoción, me doy aquí, en clandestado."
T00166,audio_008,969000,976000,00:16:09.000,00:16:16.000,0.7045,,"Entonces, ya está aprobada, ya no es fría, aprobada, se lo pongo en la reducción porque está aprobada."
T00167,audio_008,976000,985000,00:16:16.000,00:16:25.000,0.6816,MEDIUM_CONFIDENCE,"Entonces, cuando le pongo en la reducción, es donde metida, que, si es cuando queda sobradora, le selecciona,"
T00168,audio_008,985000,991000,00:16:25.000,00:16:31.000,0.3949,LOW_CONFIDENCE,"ya es que, ahora le le gusta, ya no, y la venta de salud, la auto-matrizada, si, es solo, es solo."
T00169,audio_008,991000,1001000,00:16:31.000,00:16:41.000,0.724,,"Aquí es el día de servicio, para confirmar que son cinco, entonces, y aquí le doy cuartas."
T00170,audio_008,1003000,1010000,00:16:43.000,00:16:50.000,0.6356,MEDIUM_CONFIDENCE,"Han cambiado el papel, no, le doy cuartas, no me doy cuartas porque me activa."
T00171,audio_008,1010000,1017000,00:16:50.000,00:16:57.000,0.52,LOW_CONFIDENCE,"Sí, te voy a ver que tú estás ahí. Sí, porque está el nombre de usuario, con la enganada y el nombre de cuchara."
T00172,audio_008,1017000,1027000,00:16:57.000,00:17:07.000,0.7082,,"Esa es una parte de la democratización y está en la parte de cuentas por cobra,"
T00173,audio_008,1027000,1031000,00:17:07.000,00:17:11.000,0.5863,MEDIUM_CONFIDENCE,"que es todo lo de los pacientes que ahora están activos, puede decir."
T00174,audio_008,1031000,1034000,00:17:11.000,00:17:14.000,0.6815,MEDIUM_CONFIDENCE,¿Qué tienen al proceso pendiente de Pablo?
T00175,audio_008,1034000,1044000,00:17:14.000,00:17:24.000,0.7257,,"Es activo que todavía están parados o que ya cancelan, pero tal vez aquí no hay un puesto finalizado."
T00176,audio_008,1044000,1049000,00:17:24.000,00:17:29.000,0.631,MEDIUM_CONFIDENCE,"Tendría que ser rellotado, para que ya se termine de culminar."
T00177,audio_008,1049000,1053000,00:17:29.000,00:17:33.000,0.4248,LOW_CONFIDENCE,"Pero acá, ya vamos a..."
T00178,audio_008,1053000,1059000,00:17:33.000,00:17:39.000,0.6038,MEDIUM_CONFIDENCE,"Ahorita lleva 36.000, por curado."
T00179,audio_008,1059000,1064000,00:17:39.000,00:17:44.000,0.5965,MEDIUM_CONFIDENCE,¿Ven un instado de cuenta?
T00180,audio_008,1064000,1066000,00:17:44.000,00:17:46.000,0.3796,LOW_CONFIDENCE,No.
T00181,audio_008,1066000,1069000,00:17:46.000,00:17:49.000,0.7192,,¿Qué está pasando?
T00182,audio_008,1069000,1075000,00:17:49.000,00:17:55.000,0.5873,MEDIUM_CONFIDENCE,"No, no, esta está en cuanto a esta acción, no nos funcionaba, pero aquí está la data del Pablo."
T00183,audio_008,1075000,1077000,00:17:55.000,00:17:57.000,0.9715,,¿Quién ha estado pagando?
T00184,audio_008,1077000,1080000,00:17:57.000,00:18:00.000,0.6675,MEDIUM_CONFIDENCE,"Entonces, esta es la parte más percibida."
T00185,audio_009,1080000,1110000,00:18:00.000,00:18:30.000,0.9232,POSSIBLE_REPETITION,La vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna
T00186,audio_009,1110000,1117000,00:18:30.000,00:18:37.000,0.6232,MEDIUM_CONFIDENCE,"- Ya creo que sea normal, quizás hasta demanar automática. - Exacto, porque tienen eso de que, ""¿Cómo va la persona?"""
T00187,audio_009,1117000,1122500,00:18:37.000,00:18:42.500,0.616,MEDIUM_CONFIDENCE,"Miren cuánto lleva, entonces hasta ahora nosotros también hay tres pacientes y los mismos pacientes están pidiendo,"
T00188,audio_009,1122500,1130000,00:18:42.500,00:18:50.000,0.4956,LOW_CONFIDENCE,"y a la de capturación por la medicina, ellos dicen, ""¿Andan las armas?"" y para la medicina se lo hacen ya."
T00189,audio_009,1130000,1137000,00:18:50.000,00:18:57.000,0.6358,MEDIUM_CONFIDENCE,"- ¿Sí? - Entonces, para ver el estado de cuenta, aquí en el cuerpo, porque no tiene que ser real."
T00190,audio_009,1137000,1142000,00:18:57.000,00:19:02.000,0.6243,MEDIUM_CONFIDENCE,"- Ah, gracias, me lo puedo dejar en mortería. - Sí, por el tiempo que me ha hecho."
T00191,audio_009,1142000,1144000,00:19:02.000,00:19:04.000,0.6099,MEDIUM_CONFIDENCE,- Gracias. - Sí.
T00192,audio_009,1148000,1159000,00:19:08.000,00:19:19.000,0.6967,MEDIUM_CONFIDENCE,"Entonces, él está de forma particular, porque está trabajando, bueno, así lo regresa, no cree que debe ser de amistad,"
T00193,audio_009,1159000,1167000,00:19:19.000,00:19:27.000,0.6788,MEDIUM_CONFIDENCE,"aquí se pone la fecha de cuándo, cuándo hubiera estado de cuenta. - Tiene un diplomático o un mech,"
T00194,audio_009,1167000,1174000,00:19:27.000,00:19:34.000,0.6969,MEDIUM_CONFIDENCE,"pero la lista es previa, y aquí está, usted selecciona si quiere ver todo."
