change_id,source_rows,excel_id,module,source_request,normalized_request,source_conflict,confirmation_required,priority,status,production_status,route_ids,video_requirement_ids,react_files,db_objects,action_ids,unit_test_ids,playwright_test_ids,selenium_test_ids,dependency_ids,blocker_type,blocker_reason,client_question,acceptance_criteria,implementation_sha,functional_fingerprint,certification_status,notes
"CR-011","12","11","Cotizaciones","clasifique por categorías","Conservar categoría por línea de cotización","{""detected"":false,""detail"":null}","false","Alta","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-QUOTES","CH04-F011","packages/contracts/src/index.ts|apps/web/src/app/(workspace)/quotes/page.tsx","","QUOTE-CREATE","","","SEL-QUOTE-ITEMS","B4","CLIENT_DEFINITION","La asignación de médico a un honorario requiere elegibilidad profesional, fuente de precio, impuestos/descuentos, cálculo, liquidación, reversión y auditoría aprobados.","¿Qué médicos son elegibles, cuál es la fuente de honorario y cuáles son los roles, cálculos, impuestos, liquidación, reversión y auditoría autorizados?","Conservar categoría por línea de cotización","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","e5141db4ed24fae7de83fbbc02fb34dc771b6ddcefa4dc88ac4aaf7fa989f8dd","LOCAL_REACT_VERIFIED_SELENIUM_PENDING","Las siete categorías y sus importes manuales se conservan. Cotizaciones Mongo admite crear, editar y recuperar desde otra sesión; el preview sigue DEMO por falta de salida fija de red. Selenium actual y la prueba de todas las categorías en preview conectado permanecen pendientes."
"CR-012","13","12","Cotizaciones · Paciente","actualice el listado de pacientes ya creados o nuevos","Refrescar pacientes autorizados, incluso creados por otro usuario","{""detected"":false,""detail"":null}","false","Alta","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-QUOTES|ROUTE-PATIENTS","CH03-F012|CH04-F002","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/lib/data-provider.ts|apps/web/src/lib/http-data-provider.ts","","QUOTE-PATIENT-SELECT","","","SEL-QUOTE-CREATE","B1","INTEGRATION","La UI demo persiste por navegador; la solicitud exige visibilidad entre usuarios autorizados, por organización, con RLS, refetch/Realtime y auditoría comprobables.","¿Qué proyecto de prueba, organizaciones y dos cuentas autorizadas se usarán para certificar creación, aislamiento y visibilidad multiusuario de pacientes?","Refrescar pacientes autorizados, incluso creados por otro usuario","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","09efe2be7ab87c10490f12260f9aa4ea95420c3c270db43fc1f3806fc8e6a912","LOCAL_REACT_VERIFIED_SELENIUM_PENDING","Actualizar pacientes usa ahora la instantánea compartida Mongo. La prueba HTTP A/B/C demuestra lectura autorizada entre sesiones y exclusión de otra organización. Falta repetir el recorrido exacto del selector React desde dos sesiones del preview conectado."
"CR-013","14","13","Cotizaciones · Honorarios","Agregar Honorario Médico debajo del nombre del médico","Vincular médico y honorario trazable a línea FEES","{""detected"":false,""detail"":null}","false","Alta","PARTIAL","MISSING","ROUTE-QUOTES|ROUTE-DOCTORS","CH06-F05","apps/web/src/app/(workspace)/quotes/page.tsx","","","","","","B4","CLIENT_DEFINITION","La asignación de médico a un honorario requiere elegibilidad profesional, fuente de precio, impuestos/descuentos, cálculo, liquidación, reversión y auditoría aprobados.","¿Qué médicos son elegibles, cuál es la fuente de honorario y cuáles son los roles, cálculos, impuestos, liquidación, reversión y auditoría autorizados?","Vincular médico y honorario trazable a línea FEES","","","PARTIAL","El compositor vincula una línea de honorarios manuales al médico elegido y la conserva después de recargar en la prueba B4. No se inventan tarifas ni se certifica conciliación institucional."
"CR-014","15","14","Dashboard","Datos/gráficas de facturación y pacientes por mes","Definir fuente de facturación y estados mensuales antes de gráficas","{""detected"":false,""detail"":null}","true","Media","BLOCKED_CLIENT","BLOCKED_CLIENT","ROUTE-DASHBOARD","CH01-F008","apps/web/src/app/(workspace)/dashboard/page.tsx","","","","","","B4","CLIENT_DEFINITION","¿Cuál evento persistido define facturación y activo/inactivo mensual?","¿Cuál evento persistido define facturación y activo/inactivo mensual?","Definir fuente de facturación y estados mensuales antes de gráficas","","","NOT_CERTIFIED","Facturación puede ser cotización, factura, pago o ingreso; no se infiere."
"CR-015","16","15","Dashboard","visitas a médico por mes y cumplimiento de metas","Definir visita válida, meta, período y fórmula de cumplimiento","{""detected"":false,""detail"":null}","true","Media","PARTIAL","PENDING_INTEGRATION","ROUTE-AGENDA|ROUTE-DOCTORS","CH11-F01","apps/web/src/app/(workspace)/agenda/page.tsx|apps/web/src/app/(workspace)/reports/visits-goals/page.tsx|apps/web/src/server/mongo-operations.ts","","","","","","B4","CLIENT_DEFINITION","Pendientes conciliación institucional de ventas, validación del indicador y prueba en preview conectado.","¿Qué cuenta como visita, cuál es la meta y cómo se calcula cumplimiento?","Definir visita válida, meta, período y fórmula de cumplimiento","","","PARTIAL","La solicitud posterior precisa una página independiente de visitas a domicilio por enfermera/médico, ventas y metas mensuales. /reports/visits-goals persiste visitas realizadas, ventas con referencia y metas en Atlas. No transforma cotizaciones en ventas. La conciliación institucional y el preview conectado siguen pendientes."
"CR-016","17","16","Dashboard","cuántos pacientes particulares y aseguradoras","Métrica/gráfica con datos de seguro y permisos","{""detected"":false,""detail"":null}","false","Media","PARTIAL","MISSING","ROUTE-DASHBOARD","CH02-F008","apps/web/src/app/(workspace)/dashboard/page.tsx","","","","","","B4","CLIENT_DEFINITION","El dato demo de aseguradora no define una métrica aprobada: faltan alcance por organización, definición de particular/asegurado, período, roles, redacción y auditoría del tablero.","¿Cómo se definen particular y asegurado, el período/organización, roles permitidos, minimización y auditoría para esta métrica?","Métrica/gráfica con datos de seguro y permisos","","","PARTIAL","Dashboard muestra pacientes particulares y con seguro a partir de los pacientes autorizados. La prueba B4 verifica los conteos; no se infieren montos de cobertura ni facturación."
"CR-017","18","17","Agenda y turnos","seleccionar más de un día","Crear serie definida de turnos sin duplicados o colisiones","{""detected"":false,""detail"":null}","false","Media","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-AGENDA","","apps/web/src/app/(workspace)/agenda/page.tsx|apps/web/src/lib/agenda-series.ts","","AGENDA-SHIFT-CREATE|AGENDA-SHIFT-DATE|AGENDA-SHIFT-DATE-ADD|AGENDA-SHIFT-DATE-REMOVE|AGENDA-SHIFT-SAVE","vitest:cr017-multi-day-shifts","playwright:cr017-multi-day-shifts","SEL-B3-AGENDA-SERIES","B3","","","","Crear serie definida de turnos sin duplicados o colisiones","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","a69cc9b1d4bb3dc2ca6c43068fb3a49b7f732ce520ee159bde05bd2cb1884f26","LOCAL_REACT_VERIFIED_SELENIUM_PENDING","La agenda crea turnos por fecha, rechaza repeticiones y colisiones y conserva la selección del paciente. Pruebas React demo; falta repetir las series sobre el preview conectado y Selenium actual."
"CR-018","19","","Agenda y turnos","agregar turno 6 horas, 8 horas, puntual","Presets 6h/8h y Puntual sujeto a regla aprobada","{""detected"":false,""detail"":null}","true","Media","PARTIAL","PARTIAL","ROUTE-AGENDA","","apps/web/src/app/(workspace)/agenda/page.tsx|apps/web/src/lib/agenda-series.ts","","AGENDA-SHIFT-PRESET-6H|AGENDA-SHIFT-PRESET-8H|AGENDA-SHIFT-PRESET-PUNTUAL","vitest:cr018-shift-presets","playwright:cr018-shift-presets","SEL-B3-AGENDA-SERIES","B3","CLIENT_DEFINITION","CR-010 debe definir la entidad Puntual, sus campos, duración, estados y relación antes de habilitarla.","CR-010 debe definir la entidad Puntual, sus campos, duración, estados y relación antes de habilitarla.","Presets 6h/8h y Puntual sujeto a regla aprobada","d8ee1d6a65fbc0fcbe17e44b18f869587d4ce03c","a69cc9b1d4bb3dc2ca6c43068fb3a49b7f732ce520ee159bde05bd2cb1884f26","PARTIAL_CLIENT_DEFINITION","Presets 6h/8h persisten duración incluso al cruzar medianoche. El alta Mongo relaciona hospitalización y enfermeras por usuario. Puntual y la eliminación de 'selección de fin' siguen pendientes de identificación/definición."
"CR-019","20","","Tarjeta de medicamentos","campo observaciones para diluciones o cuidados especiales","Observaciones por ítem/general en tarjeta clínica autorizada","{""detected"":false,""detail"":null}","true","Media","BLOCKED_CLIENT","NEEDS_CLIENT_DEFINITION","ROUTE-MEDICAL-ORDERS","CH10-F04","apps/web/src/app/(workspace)/clinical/medication-cards/page.tsx","","","","","","B5","CLINICAL_APPROVAL","Aprobar el formulario versionado de tarjeta de medicamentos, el alcance por ítem/general, roles autorizados y la política de auditoría, versionado, corrección y firma; definir el manejo seguro de texto de diluciones/cuidados especiales.","Aprobar el formulario versionado de tarjeta de medicamentos, el alcance por ítem/general, roles autorizados y la política de auditoría, versionado, corrección y firma; definir el manejo seguro de texto de diluciones/cuidados especiales.","Observaciones por ítem/general en tarjeta clínica autorizada","","","NOT_CERTIFIED","No se captura texto de diluciones ni cuidados especiales sin un formulario de tarjeta de medicamentos versionado, autorizado y auditable."
"CR-020","21","","Clínica","Agregar Balance Hídrico","Entradas append-only por turno, totales 24h y cierre auditado","{""detected"":false,""detail"":null}","true","Baja","PARTIAL","PENDING_INTEGRATION","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical|apps/web/src/app/(workspace)/clinical/balance/page.tsx|apps/web/src/server/mongo-operations.ts|packages/contracts/src/operations.ts","","","","","","B5","CLINICAL_APPROVAL","Pendientes aprobación clínica del formulario institucional y prueba en preview conectado.","Aprobar formulario, reglas de cierre/corrección y permisos por turno.","Entradas append-only por turno, totales 24h y cierre auditado","","","PARTIAL","Se implementó /clinical/balance con períodos, entradas append-only, sumas de entradas/salidas, cierre y corrección auditada. Atlas verifica lectura de enfermeras de la organización y escritura sólo asignada, rechaza organización ajena y conserva originales. No equivale a aprobación clínica; formulario institucional y preview conectado pendientes."
"CR-021","22","","Clínica · Escalas","Escala de EVA","Escala EVA con versión institucional aprobada y selección única","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Aportar formulario/versionado institucional aprobado.","Aportar formulario/versionado institucional aprobado.","Escala EVA con versión institucional aprobada y selección única","","","NOT_CERTIFIED","No existe motor de escalas; no se inventa formulario ni interpretación."
"CR-022","23","","Clínica · Escalas","ESCALA DE GASGLOW","Escala de Glasgow confirmada, versionada y con suma configurada","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Confirmar Glasgow y proporcionar formulario/versionado aprobado.","Confirmar Glasgow y proporcionar formulario/versionado aprobado.","Escala de Glasgow confirmada, versionada y con suma configurada","","","NOT_CERTIFIED","“Gasglow” probablemente se refiere a Glasgow; faltan formulario y versión."
"CR-023","24","","Clínica · Escalas","Escala de Ramsay","Escala Ramsay con formulario aprobado y selección única","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Proporcionar formulario/versionado institucional aprobado.","Proporcionar formulario/versionado institucional aprobado.","Escala Ramsay con formulario aprobado y selección única","","","NOT_CERTIFIED","No existe motor ni formulario aprobado."
"CR-024","25","","Clínica · Escalas","Esacala Ecof","Escala ECOG confirmada, versionada y con selección única","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Confirmar ECOG y proporcionar formulario/versionado aprobado.","Confirmar ECOG y proporcionar formulario/versionado aprobado.","Escala ECOG confirmada, versionada y con selección única","","","NOT_CERTIFIED","“Ecof” probablemente significa ECOG; faltan confirmación y formulario."
"CR-025","26","","Clínica · Escalas","Escala de ESAS","ESAS con dominios 0–10 según formulario aprobado","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Proporcionar formulario/versionado institucional aprobado.","Proporcionar formulario/versionado institucional aprobado.","ESAS con dominios 0–10 según formulario aprobado","","","NOT_CERTIFIED","No existe motor ni definición institucional de dominios/incompletos."
"CR-026","27","","Clínica · Escalas","Escala de karnofky","Escala Karnofsky confirmada y versionada","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Confirmar Karnofsky y proporcionar formulario/versionado aprobado.","Confirmar Karnofsky y proporcionar formulario/versionado aprobado.","Escala Karnofsky confirmada y versionada","","","NOT_CERTIFIED","“karnofky” probablemente significa Karnofsky; faltan formulario y versión."
"CR-027","28","","Clínica · Escalas","Escala de Dowton","Escala Downton con formulario y cálculo aprobados","{""detected"":false,""detail"":null}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Proporcionar formulario/versionado institucional aprobado.","Proporcionar formulario/versionado institucional aprobado.","Escala Downton con formulario y cálculo aprobados","","","NOT_CERTIFIED","No existe motor ni versión aprobada."
"CR-028","29","","Clínica · Escalas","Escala de Dowton","La captura parece ser Norton; confirmar nombre y versión antes de modelar","{""detected"":true,""detail"":""El texto dice Downton y la captura muestra dominios compatibles con Norton.""}","true","Baja","SOURCE_CONFLICT","SOURCE_CONFLICT","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","SOURCE_CONFLICT","¿La solicitud es Norton o Downton? Aportar versión/formulario institucional.","¿La solicitud es Norton o Downton? Aportar versión/formulario institucional.","La captura parece ser Norton; confirmar nombre y versión antes de modelar","","","NOT_CERTIFIED","El texto dice Downton y la captura muestra dominios compatibles con Norton."
"CR-029","30","","Clínica · Escalas","(sin nombre; captura adjunta)","Índice Barthel por confirmar, incluida versión/puntuación institucional","{""detected"":true,""detail"":""La fila no tiene nombre; la captura está titulada Índice Barthel.""}","true","Baja","SOURCE_CONFLICT","SOURCE_CONFLICT","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","SOURCE_CONFLICT","Confirmar Índice Barthel y versión/puntuación institucional.","Confirmar Índice Barthel y versión/puntuación institucional.","Índice Barthel por confirmar, incluida versión/puntuación institucional","","","NOT_CERTIFIED","La fila no tiene nombre; la captura está titulada Índice Barthel."
"CR-030","31","","Clínica · Escalas","Escala de Branden","Escala Braden confirmada y versionada","{""detected"":true,""detail"":""El texto dice Branden y la imagen parece Braden.""}","true","Baja","MISSING","MISSING","ROUTE-CLINICAL-HOSPITALIZATIONS","","apps/web/src/app/(workspace)/clinical","","","","","","B6","CLINICAL_APPROVAL","Confirmar Braden y proporcionar formulario/versionado aprobado.","Confirmar Braden y proporcionar formulario/versionado aprobado.","Escala Braden confirmada y versionada","","","NOT_CERTIFIED","El texto dice Branden y la imagen parece Braden."
"CR-031","33|34","","Pacientes · Multiusuario","pacientes creados visibles para otros usuarios con permisos","Persistencia multiusuario por organización, RLS, refetch/Realtime y auditoría","{""detected"":false,""detail"":null}","false","Alta","PARTIAL","PENDING_INTEGRATION","ROUTE-PATIENTS","CH02-F002","apps/web/src/lib/data-provider.ts|apps/web/src/server/mongo-live-verification.ts|apps/web/src/server/mongo-operations.ts|apps/web/src/lib/http-data-provider.ts","supabase/migrations/202608260002_security_rls_functions.sql","PATIENT-CREATE","","","SEL-PAT-CREATE","B1","INTEGRATION","Falta salida fija de Vercel para conectar Preview sin 0.0.0.0/0 y completar los módulos restantes.","¿Qué proyecto de prueba, organizaciones y dos cuentas autorizadas se usarán para certificar creación, aislamiento y visibilidad multiusuario de pacientes?","Persistencia multiusuario por organización, RLS, refetch/Realtime y auditoría","","","NOT_CERTIFIED","Atlas existente está conectado y su bootstrap aplicó 41 índices. Pacientes, hospitalizaciones, cotizaciones, pagos, adjuntos, balance, administración de unidades y visitas tienen pruebas reales de persistencia e integridad locales. Los límites organizacionales se validan en el servidor; no se afirma RLS Mongo. Preview requiere salida fija autorizada; otros módulos aún no integrados siguen abiertos."
"CR-032","35","","Migración de datos","Integrar/importar base existente de médicos y expedientes","ETL idempotente con dry-run, conciliación, rollback y aprobación","{""detected"":false,""detail"":null}","true","Alta","MISSING","MISSING","ROUTE-DOCTORS","","","supabase/migrations/202608260001_initial_schema.sql","","","","","B7","SOURCE_DATA","Entregar export/dump autorizado y diccionario de la fuente para un dry-run.","Entregar export/dump autorizado y diccionario de la fuente para un dry-run.","ETL idempotente con dry-run, conciliación, rollback y aprobación","","","NOT_CERTIFIED","Hay esquema destino, no fuente, diccionario ni pipeline de importación."
