"requirement_id","feature_group","name","expected_behavior","status","defect_ids","client_blocker_ids"
"CH06-H002","discount_authorization","Grupo de descuento autorizado","Sólo aplica una regla activa configurada, bloquea reglas con aprobación pendiente y exige motivo cuando corresponde; porcentajes arbitrarios del navegador se ignoran.","IMPLEMENTED_EXACT","",""
"CH06-H003","no_inferred_financial_inventory_rules","Sin impuesto, stock ni perfil inferidos","No transforma existencias ni ejemplos numéricos del video en reglas productivas sin configuración y confirmación del cliente.","IMPLEMENTED_EXACT","","CH06-Q002 | CH06-Q003 | CH06-Q004"
"CH06-H004","save_interaction","Guardar tras editar comentarios","El blur/change de un campo no reconstruye el botón antes de su click; un clic físico guarda una sola vez y navega sólo después de éxito.","IMPLEMENTED_EXACT","",""
"CH07-H001","atomic_quote_send","Enviar versión y encolar notificación","Bloquea la versión y crea la notificación segura en una sola transacción autoritativa; el cliente muta su espejo sólo tras confirmación.","IMPLEMENTED_EXACT","",""
"CH07-H002","atomic_insurance_transition","Transición de seguro completa","Bloquea quote y request, valida transición e importe y escribe request, ambos historiales, auditoría y notificación dentro de una transacción.","IMPLEMENTED_EXACT","",""
"CH07-H003","insurance_rls_boundary","Seguro mutable sólo por RPC","Niega INSERT, UPDATE y DELETE directos a roles autenticados sobre solicitudes y eventos de seguro.","IMPLEMENTED_EXACT","",""
"CH07-H004","sent_version_integrity","Respuesta de seguro sin reescribir cotización","Guarda monto aprobado y reclamo en insurance_requests y preserva importes, ítems y snapshot inmutable de la versión enviada.","IMPLEMENTED_EXACT","",""
"CH07-H005","safe_notification","Preview genérico y enlace seguro","Nunca incluye diagnóstico, tratamiento, medicamentos ni detalle clínico en WhatsApp o email; sólo encola una plantilla genérica para un destinatario registrado.","IMPLEMENTED_EXACT","",""
"CH07-H006","idempotent_operations","Doble clic y reintento seguros","Deduplica por organización y clave estable; un reintento idéntico devuelve el resultado previo y reutilizar la clave con otro payload falla.","IMPLEMENTED_EXACT","",""
"CH08-H001","remote_first_payments","Confirmación autoritativa de pago y reversión","La UI sólo confirma y muta su espejo tras apply_payment o reverse_payment; errores remotos conservan el estado local anterior.","IMPLEMENTED_EXACT","",""
"CH08-H002","immutable_payments","Reversión append-only","Nunca actualiza importes ni elimina pagos; anula pago, asignación y comprobante con motivo, actor, tiempo e idempotencia.","IMPLEMENTED_EXACT","",""
"CH08-H003","execution_persistence","Handoff idempotente y auditable","Valida organización, paciente, hospitalización, cotización, versión y aseguradora; crea un único perfil activo mediante RPC cerrada y registra auditoría.","IMPLEMENTED_EXACT","",""
"CH08-H004","payment_reload","Pagos, asignaciones y comprobantes al recargar","Reconstruye IDs de raíz y versión, hospitalización, importes, asignaciones y comprobantes sin perder el vínculo usado por saldos.","IMPLEMENTED_EXACT","",""
"CH08-H005","no_inferred_credit","Sin crédito o anticipo inferido","No convierte el saldo negativo del ejemplo en una regla productiva; muestra excedente no asignado y conserva la prohibición de sobrepago.","IMPLEMENTED_EXACT","","CH08-Q001"
"CH13-H001","purchase_bootstrap","Bootstrap de proveedores, catálogo, compras y líneas","Carga y normaliza snake_case, purchase_items e importes para que Supabase no vacíe ni rompa el listado o detalle.","IMPLEMENTED_EXACT","",""
"CH13-H002","remote_confirmation","Sin éxito local-first","En modo Supabase no muta el espejo ni cierra el compositor hasta que la RPC confirma cabecera y líneas; un fallo remoto permanece visible.","IMPLEMENTED_EXACT","",""
"CH13-H003","atomic_purchase_draft","Borrador transaccional e idempotente","Valida y escribe cabecera, líneas, evento y auditoría en una transacción, deduplicada por organización y clave estable.","IMPLEMENTED_EXACT","",""
"CH13-H004","purchase_tenant_boundary","Referencias de compra limitadas al tenant","Deriva organización del actor, valida proveedor y catálogo en el mismo tenant, lee líneas sólo por padre autorizado y revoca DML financiero directo.","IMPLEMENTED_EXACT","",""
"CH13-H005","no_inferred_purchase_rules","Sin tasa, estado, recepción ni inventario inferidos","Elimina el IVA 13% inventado y sólo crea DRAFT con importes manuales; aprobación, recepción, Registro PT, archivo, anulación e inventario quedan bloqueados.","IMPLEMENTED_EXACT","","CH13-Q001 | CH13-Q002 | CH13-Q004 | CH13-Q007 | CH13-Q009 | CH13-Q013"
"CH09-H001","profile_persistence","Creación remota-first, idempotente y auditable","Confirma la RPC antes de mutar el espejo local, serializa idempotencia y registra actor, organización, hospitalización y paciente.","IMPLEMENTED_EXACT","",""
"CH09-H002","profile_immutability","Perfil append-only","Deniega update/delete directos mediante RLS, grants y trigger; las correcciones futuras deben crear nueva evidencia autorizada.","IMPLEMENTED_EXACT","",""
"CH09-H003","tenant_references","Hospitalización y profesionales de la organización","Valida organización, permiso, hospitalización, paciente y cada profesional activo dentro del tenant.","IMPLEMENTED_EXACT","",""
"CH09-H004","temporal_validation","Validación temporal cliente y servidor","Aplica start<=end en HTML, dominio, constraints SQL y RPC sin aceptar el defecto de rango del video.","IMPLEMENTED_EXACT","",""
"CH09-H005","safe_printing","Impresión sin mutación clínica","La impresión configura una vista derivada, no edita documentos firmados ni convierte el fallo del video en comportamiento productivo.","IMPLEMENTED_EXACT","",""
"CH10-H001","clinical_transaction","Creación remota-first e idempotente","Confirma RPC antes de reflejar éxito local, serializa idempotencia y audita hospitalización sin contenido clínico en logs.","IMPLEMENTED_EXACT","",""
"CH10-H002","tenant_integrity","Hospitalización y profesionales del tenant","Valida organización, permiso, hospitalización, paciente y profesionales activos en cliente/store/RPC con RLS.","IMPLEMENTED_EXACT","",""
"CH10-H003","calendar_integrity","Calendario editable y validado","Evita desplazamiento por zona horaria, rechaza rangos invertidos y conserva la fecha sugerida como editable/configurable.","IMPLEMENTED_EXACT","",""
"CH10-H004","safe_administration","Administración no simulada","No afirma una administración ni envía contenido clínico; el registro operativo permanece deshabilitado hasta definir campos, permisos y correcciones.","NEEDS_CLIENT_CONFIRMATION","","CH10-Q013"
"CH11-H001","shift_transaction","Creación remota-first e idempotente","Valida organización e intervalo, serializa la idempotencia, confirma la RPC y sólo entonces agrega la visita local y muestra éxito.","IMPLEMENTED_EXACT","",""
"CH11-H002","tenant_resource","Hospitalización, paciente y recurso del tenant","Deriva organización y paciente en servidor, valida miembro activo y cierra escrituras directas sin desactivar RLS.","IMPLEMENTED_EXACT","",""
"CH11-H003","safe_blockers","Recurrencia, eliminación y liquidación no simuladas","No crea series, elimina visitas ni aplica pagos/descuentos cuando faltan reglas; informa el bloqueo y registra preguntas concretas.","IMPLEMENTED_EXACT","",""
"CH12-H001","supabase_bootstrap","Bootstrap productivo de servicios y estados profesionales","Carga doctor_services y normaliza snake_case, importes e ítems de doctor_statements para que la fuente Supabase no vacíe ni rompa las vistas.","IMPLEMENTED_EXACT","",""
"CH12-H002","financial_boundary","Ítems tenant-safe y servicio en un solo estado","Habilita RLS en ítems, deriva tenant por el padre, impide incluir un servicio en dos estados y revoca DML directo en las tres tablas financieras.","IMPLEMENTED_EXACT","",""
"CH12-H003","no_fake_finance","Sin éxito financiero local-first","Generar, guardar, editar, enviar y reportes no confirmados fallan o se bloquean explícitamente sin mutar localStorage, auditoría o notificaciones.","IMPLEMENTED_EXACT","",""
"CH14-H001","remote_confirmation","Movimiento confirmado antes de éxito","En modo Supabase, confirma la RPC y su identificador antes de mutar el espejo local o cerrar el formulario.","IMPLEMENTED_EXACT","",""
"CH14-H002","supabase_bootstrap","Bootstrap completo de inventario","Reconstruye bodegas, items, lotes, movimientos, reservas, cierres y kits desde Supabase sin caer en datos locales obsoletos.","IMPLEMENTED_EXACT","",""
"CH14-H003","inventory_rls","Lecturas tenant-safe y DML directo cerrado","Habilita RLS en hijos, deriva el tenant por padres autorizados y revoca escrituras directas de inventario, cierres y kits.","IMPLEMENTED_EXACT","",""
"CH14-H004","local_lot_guard","Sin movimientos locales inseguros de lote o serie","Bloquea toda mutación local de un ítem trazable antes de cambiar stock, lote, movimiento o auditoría; producción usa la RPC transaccional.","IMPLEMENTED_EXACT","",""
"CH14-H005","no_fake_inventory_success","Sin éxito simulado en acuses, cierres o kits","Las operaciones sin contrato aprobado fallan o se muestran bloqueadas sin mutar estado, stock, cierres, kits ni auditoría.","IMPLEMENTED_EXACT","","CH14-Q002 | CH14-Q007 | CH14-Q012 | CH14-Q013"
"CH15-H001","catalog_integrity","Catálogo tenant-safe, sin borrado y con historial","Impide SKU duplicado por organización, registra cambios/precios append-only, confirma remoto y niega borrado de maestros usados.","IMPLEMENTED_EXACT","",""
"CH15-H002","catalog_bulk_import","Archivo / validación / preview / válidas / errores / duplicados / confirmar","Importa sólo CSV sintético completamente válido, rechaza lotes parciales y registra una auditoría del lote.","IMPLEMENTED_EXACT","",""
"CH16-H001","discount_persistence","Reglas y solicitudes tenant-safe","El adaptador carga reglas y solicitudes explícitamente; sus escrituras pasan por RPCs con RLS y auditoría. La ejecución contra una instancia Supabase real aún no está disponible.","IMPLEMENTED_PARTIAL","","CH16-Q005"
"CH16-H002","approval_integrity","Aprobación vinculada a líneas","Una aprobación se vincula a regla, paciente, hospitalización y líneas/cantidades; cambios posteriores invalidan la aplicación y cada decisión deja auditoría.","IMPLEMENTED_EXACT","",""
"CH16-H003","discount_precedence","Precedencia y combinación","No combina ni prioriza perfiles, promociones o convenios automáticamente hasta que el cliente defina la política y el redondeo autorizados.","NEEDS_CLIENT_CONFIRMATION","","CH16-Q002 | CH16-Q003"
